"Language","Angle","Mode"
"Azb_arab_train",66.7234309713361,"BPE-Min-R"
"Kat_geor_train",72.5673974966057,"BPE-Min-R"
"Kea_latn_train",79.2449111435147,"BPE-Min-R"
"Tpi_latn_train",79.4972023217101,"BPE-Min-R"
"Lus_latn_train",79.7286049208005,"BPE-Min-R"
"Zsm_latn_train",79.8031359052062,"BPE-Min-R"
"Eng_latn_train",80.4705413091519,"BPE-Min-R"
"Kas_deva_train",80.7868381184391,"BPE-Min-R"
"Rus_cyrl_train",81.2127245104317,"BPE-Min-R"
"Hne_deva_train",82.0540160272499,"BPE-Min-R"
"Spa_latn_train",82.2284203630751,"BPE-Min-R"
"Fur_latn_train",82.3448279233624,"BPE-Min-R"
"Ltg_latn_train",82.5258140051607,"BPE-Min-R"
"Hat_latn_train",83.2237914463305,"BPE-Min-R"
"Tzm_tfng_train",83.8920367683835,"BPE-Min-R"
"Grn_latn_train",84.1254423912063,"BPE-Min-R"
"Lin_latn_train",84.8278914963161,"BPE-Min-R"
"Pap_latn_train",85.9577820458139,"BPE-Min-R"
"Azj_latn_train",86.9410316739679,"BPE-Min-R"
"Als_latn_train",87.0857236206195,"BPE-Min-R"
"Hye_armn_train",89.2671727985934,"BPE-Min-R"
"Tat_cyrl_train",89.3422763773532,"BPE-Min-R"
"Sin_sinh_train",89.5451766023172,"BPE-Min-R"
"Tgk_cyrl_train",89.5840939743115,"BPE-Min-R"
"Hin_deva_train",89.8773555663958,"BPE-Min-R"
"Scn_latn_train",90.3059704118515,"BPE-Min-R"
"Tgl_latn_train",90.5479247434094,"BPE-Min-R"
"Pag_latn_train",90.7312433067629,"BPE-Min-R"
"Pan_guru_train",90.9265302409898,"BPE-Min-R"
"Kmr_latn_train",91.1517098451093,"BPE-Min-R"
"Sag_latn_train",91.3420153225847,"BPE-Min-R"
"Glg_latn_train",91.3728249658494,"BPE-Min-R"
"Mag_deva_train",91.8772723562248,"BPE-Min-R"
"Khk_cyrl_train",92.0628281457873,"BPE-Min-R"
"Lij_latn_train",93.0526131760206,"BPE-Min-R"
"Taq_latn_train",93.1396376342775,"BPE-Min-R"
"Snd_arab_train",93.4319185929044,"BPE-Min-R"
"Knc_arab_train",93.6004317215872,"BPE-Min-R"
"Por_latn_train",93.6455969182148,"BPE-Min-R"
"Urd_arab_train",93.7991294821494,"BPE-Min-R"
"Mos_latn_train",94.2971754872625,"BPE-Min-R"
"Szl_latn_train",94.3560177536421,"BPE-Min-R"
"Diq_latn_train",95.0053649848351,"BPE-Min-R"
"Sat_beng_train",95.1704058420063,"BPE-Min-R"
"Mni_beng_train",95.2452590147188,"BPE-Min-R"
"Oci_latn_train",95.3452750310295,"BPE-Min-R"
"Bho_deva_train",95.5083986356717,"BPE-Min-R"
"Amh_ethi_train",95.843615438704,"BPE-Min-R"
"Arb_arab_train",95.9174818761888,"BPE-Min-R"
"Srd_latn_train",96.3771294185656,"BPE-Min-R"
"Bod_tibt_train",96.4264206308638,"BPE-Min-R"
"Lmo_latn_train",96.435989620561,"BPE-Min-R"
"War_latn_train",96.5296005362647,"BPE-Min-R"
"Vec_latn_train",97.1610352385198,"BPE-Min-R"
"Bak_cyrl_train",97.6396472194305,"BPE-Min-R"
"Cjk_latn_train",97.9394551534889,"BPE-Min-R"
"Kmb_latn_train",98.1095411915259,"BPE-Min-R"
"Kaz_cyrl_train",98.7303655997516,"BPE-Min-R"
"Ace_latn_train",99.0512321536154,"BPE-Min-R"
"Uig_arab_train",99.0853529571825,"BPE-Min-R"
"San_deva_train",99.2565586696937,"BPE-Min-R"
"Fon_latn_train",99.3961488784287,"BPE-Min-R"
"Gle_latn_train",99.8004927143581,"BPE-Min-R"
"Kon_latn_train",99.9808112338968,"BPE-Min-R"
"Swh_latn_train",100.1876101012,"BPE-Min-R"
"Ory_orya_train",100.558134714891,"BPE-Min-R"
